gene	cat	status	length	priority	issues_count	issues
PPIE	rejected	rejected	810	MED	1	REJ_NO_CLEAR_REASON
PPM1D	rejected	rejected	891	OK	0	OK
PQBP1	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
PRAME	rejected	rejected	790	MED	1	REJ_NO_CLEAR_REASON
PRAMEF12	rejected	rejected	751	MED	1	REJ_NO_CLEAR_REASON
PRICKLE1	rejected	rejected	787	MED	1	REJ_NO_CLEAR_REASON
PRIMPOL	rejected	rejected	822	MED	1	REJ_NO_CLEAR_REASON
PRKAA1	rejected	rejected	895	OK	0	OK
PRKCB	rejected	rejected	891	OK	0	OK
PRKCI	rejected	rejected	891	OK	0	OK
PRKN	rejected	rejected	887	OK	0	OK
PRKRA	rejected	rejected	882	MED	1	REJ_NO_CLEAR_REASON
PRM1	rejected	rejected	887	OK	0	OK
PRM2	rejected	rejected	749	MED	1	REJ_NO_CLEAR_REASON
PROP1	rejected	rejected	803	MED	1	REJ_NO_CLEAR_REASON
PRRX2	rejected	rejected	766	MED	1	REJ_NO_CLEAR_REASON
PTCH2	rejected	rejected	751	MED	1	REJ_NO_CLEAR_REASON
PTER	rejected	rejected	768	MED	1	REJ_NO_CLEAR_REASON
PTGES3	rejected	rejected	770	MED	1	REJ_NO_CLEAR_REASON
PTGS2	rejected	rejected	783	MED	1	REJ_NO_CLEAR_REASON
PTH1R	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
PTMA	rejected	rejected	755	MED	1	REJ_NO_CLEAR_REASON
PTMS	rejected	rejected	757	MED	1	REJ_NO_CLEAR_REASON
PTTG1	rejected	rejected	796	MED	1	REJ_NO_CLEAR_REASON
PURA	rejected	rejected	775	MED	1	REJ_NO_CLEAR_REASON
PYCARD	rejected	rejected	775	MED	1	REJ_NO_CLEAR_REASON
Pmf1	rejected	rejected	855	MED	1	REJ_NO_CLEAR_REASON
RACGAP1	rejected	rejected	819	MED	1	REJ_NO_CLEAR_REASON
RACK1	rejected	rejected	891	OK	0	OK
RAI1	rejected	rejected	761	MED	1	REJ_NO_CLEAR_REASON
RARB	rejected	rejected	795	MED	1	REJ_NO_CLEAR_REASON
RAX	rejected	rejected	775	MED	1	REJ_NO_CLEAR_REASON
RB1CC1	rejected	rejected	803	MED	1	REJ_NO_CLEAR_REASON
RBL1	rejected	rejected	779	MED	1	REJ_NO_CLEAR_REASON
RBL2	rejected	rejected	776	MED	1	REJ_NO_CLEAR_REASON
RBX1	rejected	rejected	887	OK	0	OK
RCC1	rejected	rejected	776	MED	1	REJ_NO_CLEAR_REASON
RD3	rejected	rejected	783	MED	1	REJ_NO_CLEAR_REASON
RERE	rejected	rejected	826	MED	1	REJ_NO_CLEAR_REASON
REV1	rejected	rejected	887	OK	0	OK
RGCC	rejected	rejected	760	MED	1	REJ_NO_CLEAR_REASON
RIOK2	rejected	rejected	730	MED	1	REJ_NO_CLEAR_REASON
RLBP1	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
RMI1	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
RORB	rejected	rejected	801	MED	1	REJ_NO_CLEAR_REASON
RRM2	rejected	rejected	887	OK	0	OK
RTCA	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
RTEL1	rejected	rejected	785	MED	1	REJ_NO_CLEAR_REASON
RUBCN	rejected	rejected	768	MED	1	REJ_NO_CLEAR_REASON
RUVBL1	rejected	rejected	791	MED	1	REJ_NO_CLEAR_REASON
RUVBL2	rejected	rejected	791	MED	1	REJ_NO_CLEAR_REASON
RXRB	rejected	rejected	762	MED	1	REJ_NO_CLEAR_REASON
RXRG	rejected	rejected	762	MED	1	REJ_NO_CLEAR_REASON
RYR2	rejected	rejected	764	MED	1	REJ_NO_CLEAR_REASON
Rhox5	rejected	rejected	859	MED	1	REJ_NO_CLEAR_REASON
Rrn3	rejected	rejected	855	MED	1	REJ_NO_CLEAR_REASON
SAFB	rejected	rejected	765	MED	1	REJ_NO_CLEAR_REASON
SAMD4A	rejected	rejected	761	MED	1	REJ_NO_CLEAR_REASON
SARS1	rejected	rejected	771	MED	1	REJ_NO_CLEAR_REASON
SASH1	rejected	rejected	773	MED	1	REJ_NO_CLEAR_REASON
SAV1	rejected	rejected	824	MED	1	REJ_NO_CLEAR_REASON
SCAI	rejected	rejected	773	MED	1	REJ_NO_CLEAR_REASON
SCYL1	rejected	rejected	742	MED	1	REJ_NO_CLEAR_REASON
SELENBP1	rejected	rejected	776	MED	1	REJ_NO_CLEAR_REASON
SEMA4B	rejected	rejected	757	MED	1	REJ_NO_CLEAR_REASON
SENP1	rejected	rejected	891	OK	0	OK
SESN1	rejected	rejected	750	MED	1	REJ_NO_CLEAR_REASON
SGK1	rejected	rejected	778	MED	1	REJ_NO_CLEAR_REASON
SGK3	rejected	rejected	791	MED	1	REJ_NO_CLEAR_REASON
SGMS1	rejected	rejected	764	MED	1	REJ_NO_CLEAR_REASON
SGO1	rejected	rejected	749	MED	1	REJ_NO_CLEAR_REASON
SHF	rejected	rejected	770	MED	1	REJ_NO_CLEAR_REASON
SHMT1	rejected	rejected	820	MED	1	REJ_NO_CLEAR_REASON
SHOC2	rejected	rejected	829	MED	1	REJ_NO_CLEAR_REASON
SHOX	rejected	rejected	750	MED	1	REJ_NO_CLEAR_REASON
SHOX2	rejected	rejected	756	MED	1	REJ_NO_CLEAR_REASON
SIGLEC11	rejected	rejected	769	MED	1	REJ_NO_CLEAR_REASON
SIK2	rejected	rejected	761	MED	1	REJ_NO_CLEAR_REASON
SIM1	rejected	rejected	820	MED	1	REJ_NO_CLEAR_REASON
SIM2	rejected	rejected	820	MED	1	REJ_NO_CLEAR_REASON
SIPA1	rejected	rejected	831	MED	1	REJ_NO_CLEAR_REASON
SIX3	rejected	rejected	785	MED	1	REJ_NO_CLEAR_REASON
SIX4	rejected	rejected	784	MED	1	REJ_NO_CLEAR_REASON
SIX5	rejected	rejected	784	MED	1	REJ_NO_CLEAR_REASON
SIX6	rejected	rejected	785	MED	1	REJ_NO_CLEAR_REASON
SKA1	rejected	rejected	766	MED	1	REJ_NO_CLEAR_REASON
SKA2	rejected	rejected	767	MED	1	REJ_NO_CLEAR_REASON
SKIL	rejected	rejected	786	MED	1	REJ_NO_CLEAR_REASON
SKP1	rejected	rejected	815	MED	1	REJ_NO_CLEAR_REASON
SKP2	rejected	rejected	817	MED	1	REJ_NO_CLEAR_REASON
SLA	rejected	rejected	756	MED	1	REJ_NO_CLEAR_REASON
SLFN11	rejected	rejected	769	MED	1	REJ_NO_CLEAR_REASON
SLX4	rejected	rejected	854	MED	1	REJ_NO_CLEAR_REASON
SMAD5	rejected	rejected	762	MED	1	REJ_NO_CLEAR_REASON
SMAD6	rejected	rejected	761	MED	1	REJ_NO_CLEAR_REASON
SMAD7	rejected	rejected	767	MED	1	REJ_NO_CLEAR_REASON
SMN1	rejected	rejected	780	MED	1	REJ_NO_CLEAR_REASON
SMN2	rejected	rejected	575	OK	0	OK
SMOX	rejected	rejected	754	MED	1	REJ_NO_CLEAR_REASON
SMUG1	rejected	rejected	868	MED	1	REJ_NO_CLEAR_REASON
SMURF2	rejected	rejected	895	OK	0	OK
SND1	rejected	rejected	792	MED	1	REJ_NO_CLEAR_REASON
SOBP	rejected	rejected	803	MED	1	REJ_NO_CLEAR_REASON
SOCS1	rejected	rejected	781	MED	1	REJ_NO_CLEAR_REASON
SOCS4	rejected	rejected	775	MED	1	REJ_NO_CLEAR_REASON
SOCS6	rejected	rejected	775	MED	1	REJ_NO_CLEAR_REASON
SOHLH2	rejected	rejected	783	MED	1	REJ_NO_CLEAR_REASON
SOS2	rejected	rejected	786	MED	1	REJ_NO_CLEAR_REASON
SOX18	rejected	rejected	812	MED	1	REJ_NO_CLEAR_REASON
SOX21	rejected	rejected	811	MED	1	REJ_NO_CLEAR_REASON
SOX5	rejected	rejected	806	MED	1	REJ_NO_CLEAR_REASON
SOX7	rejected	rejected	807	MED	1	REJ_NO_CLEAR_REASON
SOX8	rejected	rejected	806	MED	1	REJ_NO_CLEAR_REASON
SP100	rejected	rejected	762	MED	1	REJ_NO_CLEAR_REASON
SP110	rejected	rejected	796	MED	1	REJ_NO_CLEAR_REASON
SP5	rejected	rejected	797	MED	1	REJ_NO_CLEAR_REASON
SP6	rejected	rejected	797	MED	1	REJ_NO_CLEAR_REASON
SP9	rejected	rejected	796	MED	1	REJ_NO_CLEAR_REASON
SPAG4	rejected	rejected	744	MED	1	REJ_NO_CLEAR_REASON
SPAG5	rejected	rejected	773	MED	1	REJ_NO_CLEAR_REASON
SPAST	rejected	rejected	749	MED	1	REJ_NO_CLEAR_REASON
SPDEF	rejected	rejected	852	MED	1	REJ_NO_CLEAR_REASON
SPDL1	rejected	rejected	781	MED	1	REJ_NO_CLEAR_REASON
SPEG	rejected	rejected	799	MED	1	REJ_NO_CLEAR_REASON
SPHK2	rejected	rejected	761	MED	1	REJ_NO_CLEAR_REASON
SPIC	rejected	rejected	813	MED	1	REJ_NO_CLEAR_REASON
SPIN1	rejected	rejected	756	MED	1	REJ_NO_CLEAR_REASON
SPOP	rejected	rejected	761	MED	1	REJ_NO_CLEAR_REASON
SPRED1	rejected	rejected	840	MED	1	REJ_NO_CLEAR_REASON
SPRY1	rejected	rejected	775	MED	1	REJ_NO_CLEAR_REASON
SQSTM1	rejected	rejected	765	MED	1	REJ_NO_CLEAR_REASON
SRA1	rejected	rejected	770	MED	1	REJ_NO_CLEAR_REASON
SREBF1	rejected	rejected	808	MED	1	REJ_NO_CLEAR_REASON
SREBF2	rejected	rejected	852	MED	1	REJ_NO_CLEAR_REASON
SRM	rejected	rejected	759	MED	1	REJ_NO_CLEAR_REASON
SRP54	rejected	rejected	765	MED	1	REJ_NO_CLEAR_REASON
SRRM1	rejected	rejected	817	MED	1	REJ_NO_CLEAR_REASON
SRRT	rejected	rejected	822	MED	1	REJ_NO_CLEAR_REASON
SSH1	rejected	rejected	753	MED	1	REJ_NO_CLEAR_REASON
ST14	rejected	rejected	782	MED	1	REJ_NO_CLEAR_REASON
ST7	rejected	rejected	767	MED	1	REJ_NO_CLEAR_REASON
STAB1	rejected	rejected	752	MED	1	REJ_NO_CLEAR_REASON
STIL	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
STIP1	rejected	rejected	891	OK	0	OK
STN1	rejected	rejected	793	MED	1	REJ_NO_CLEAR_REASON
STUB1	rejected	rejected	891	OK	0	OK
STX2	rejected	rejected	753	MED	1	REJ_NO_CLEAR_REASON
STXBP1	rejected	rejected	771	MED	1	REJ_NO_CLEAR_REASON
SUFU	rejected	rejected	784	MED	1	REJ_NO_CLEAR_REASON
SUN2	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
SYCP3	rejected	rejected	765	MED	1	REJ_NO_CLEAR_REASON
SYNE1	rejected	rejected	843	MED	1	REJ_NO_CLEAR_REASON
SYNGAP1	rejected	rejected	789	MED	1	REJ_NO_CLEAR_REASON
Snurf	rejected	rejected	859	MED	1	REJ_NO_CLEAR_REASON
TAB2	rejected	rejected	887	OK	0	OK
TAGLN	rejected	rejected	752	MED	1	REJ_NO_CLEAR_REASON
TAX1BP3	rejected	rejected	830	MED	1	REJ_NO_CLEAR_REASON
TBL1XR1	rejected	rejected	784	MED	1	REJ_NO_CLEAR_REASON
TBR1	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
TBX15	rejected	rejected	780	MED	1	REJ_NO_CLEAR_REASON
TBX19	rejected	rejected	780	MED	1	REJ_NO_CLEAR_REASON
TBX20	rejected	rejected	781	MED	1	REJ_NO_CLEAR_REASON
TBX4	rejected	rejected	776	MED	1	REJ_NO_CLEAR_REASON
TBX6	rejected	rejected	776	MED	1	REJ_NO_CLEAR_REASON
TBXT	rejected	rejected	766	MED	1	REJ_NO_CLEAR_REASON
TCF12	rejected	rejected	764	MED	1	REJ_NO_CLEAR_REASON
TCF7L1	rejected	rejected	832	MED	1	REJ_NO_CLEAR_REASON
TCOF1	rejected	rejected	778	MED	1	REJ_NO_CLEAR_REASON
TDP1	rejected	rejected	769	MED	1	REJ_NO_CLEAR_REASON
TDP2	rejected	rejected	769	MED	1	REJ_NO_CLEAR_REASON
TEAD2	rejected	rejected	802	MED	1	REJ_NO_CLEAR_REASON
TEN1	rejected	rejected	807	MED	1	REJ_NO_CLEAR_REASON
TERF1	rejected	rejected	774	MED	1	REJ_NO_CLEAR_REASON
TERF2	rejected	rejected	774	MED	1	REJ_NO_CLEAR_REASON
TERF2IP	rejected	rejected	830	MED	1	REJ_NO_CLEAR_REASON
TEX14	rejected	rejected	838	MED	1	REJ_NO_CLEAR_REASON
TEX19	rejected	rejected	736	MED	1	REJ_NO_CLEAR_REASON
TFAP2B	rejected	rejected	774	MED	1	REJ_NO_CLEAR_REASON
TFAP4	rejected	rejected	792	MED	1	REJ_NO_CLEAR_REASON
TFCP2	rejected	rejected	765	MED	1	REJ_NO_CLEAR_REASON
TFCP2L1	rejected	rejected	811	MED	1	REJ_NO_CLEAR_REASON
TFDP1	rejected	rejected	766	MED	1	REJ_NO_CLEAR_REASON
TFEC	rejected	rejected	760	MED	1	REJ_NO_CLEAR_REASON
TGFB1I1	rejected	rejected	795	MED	1	REJ_NO_CLEAR_REASON
TGIF1	rejected	rejected	804	MED	1	REJ_NO_CLEAR_REASON
TGIF2	rejected	rejected	803	MED	1	REJ_NO_CLEAR_REASON
TGIF2LY	rejected	rejected	764	MED	1	REJ_NO_CLEAR_REASON
THBD	rejected	rejected	757	MED	1	REJ_NO_CLEAR_REASON
THEMIS	rejected	rejected	774	MED	1	REJ_NO_CLEAR_REASON
THRA	rejected	rejected	768	MED	1	REJ_NO_CLEAR_REASON
THRB	rejected	rejected	768	MED	1	REJ_NO_CLEAR_REASON
THRSP	rejected	rejected	767	MED	1	REJ_NO_CLEAR_REASON
TIMELESS	rejected	rejected	809	MED	1	REJ_NO_CLEAR_REASON
TINCR	rejected	rejected	771	MED	1	REJ_NO_CLEAR_REASON
TINF2	rejected	rejected	819	MED	1	REJ_NO_CLEAR_REASON
TJP2	rejected	rejected	762	MED	1	REJ_NO_CLEAR_REASON
TKT	rejected	rejected	749	MED	1	REJ_NO_CLEAR_REASON
TLE1	rejected	rejected	824	MED	1	REJ_NO_CLEAR_REASON
TLE3	rejected	rejected	823	MED	1	REJ_NO_CLEAR_REASON
TLE4	rejected	rejected	823	MED	1	REJ_NO_CLEAR_REASON
TLX1	rejected	rejected	794	MED	1	REJ_NO_CLEAR_REASON
TLX3	rejected	rejected	794	MED	1	REJ_NO_CLEAR_REASON
TMPO	rejected	rejected	750	MED	1	REJ_NO_CLEAR_REASON
TMSB4X	rejected	rejected	800	MED	1	REJ_NO_CLEAR_REASON
TNFAIP8	rejected	rejected	774	MED	1	REJ_NO_CLEAR_REASON
TNFRSF19	rejected	rejected	794	MED	1	REJ_NO_CLEAR_REASON
TNFSF4	rejected	rejected	767	MED	1	REJ_NO_CLEAR_REASON
TNIK	rejected	rejected	771	MED	1	REJ_NO_CLEAR_REASON
TNKS	rejected	rejected	817	MED	1	REJ_NO_CLEAR_REASON
TNKS2	rejected	rejected	823	MED	1	REJ_NO_CLEAR_REASON
TNMD	rejected	rejected	742	MED	1	REJ_NO_CLEAR_REASON
TNNI1	rejected	rejected	754	MED	1	REJ_NO_CLEAR_REASON
TNNT1	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
TNNT2	rejected	rejected	766	MED	1	REJ_NO_CLEAR_REASON
TNP2	rejected	rejected	757	MED	1	REJ_NO_CLEAR_REASON
TNPO1	rejected	rejected	754	MED	1	REJ_NO_CLEAR_REASON
TNPO3	rejected	rejected	754	MED	1	REJ_NO_CLEAR_REASON
TOB1	rejected	rejected	785	MED	1	REJ_NO_CLEAR_REASON
TOLLIP	rejected	rejected	768	MED	1	REJ_NO_CLEAR_REASON
TOR1A	rejected	rejected	804	MED	1	REJ_NO_CLEAR_REASON
TOX3	rejected	rejected	781	MED	1	REJ_NO_CLEAR_REASON
TP53BP1	rejected	rejected	788	MED	1	REJ_NO_CLEAR_REASON
TP53BP2	rejected	rejected	777	MED	1	REJ_NO_CLEAR_REASON
TP53INP1	rejected	rejected	859	MED	1	REJ_NO_CLEAR_REASON
TP53INP2	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
TP73	rejected	rejected	755	MED	1	REJ_NO_CLEAR_REASON
TPI1	rejected	rejected	764	MED	1	REJ_NO_CLEAR_REASON
TPRX2	rejected	rejected	744	MED	1	REJ_NO_CLEAR_REASON
TPX2	rejected	rejected	804	MED	1	REJ_NO_CLEAR_REASON
TRADD	rejected	rejected	816	MED	1	REJ_NO_CLEAR_REASON
TRAF1	rejected	rejected	773	MED	1	REJ_NO_CLEAR_REASON
TRAF4	rejected	rejected	773	MED	1	REJ_NO_CLEAR_REASON
TREX1	rejected	rejected	774	MED	1	REJ_NO_CLEAR_REASON
TREX2	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
TRIB2	rejected	rejected	764	MED	1	REJ_NO_CLEAR_REASON
TRIB3	rejected	rejected	891	OK	0	OK
TRIM29	rejected	rejected	774	MED	1	REJ_NO_CLEAR_REASON
TRIM32	rejected	rejected	855	OK	0	OK
TRIM33	rejected	rejected	895	OK	0	OK
TRIM37	rejected	rejected	801	MED	1	REJ_NO_CLEAR_REASON
TRIM56	rejected	rejected	757	MED	1	REJ_NO_CLEAR_REASON
TRIP13	rejected	rejected	782	MED	1	REJ_NO_CLEAR_REASON
TRIP4	rejected	rejected	778	MED	1	REJ_NO_CLEAR_REASON
TRIP6	rejected	rejected	777	MED	1	REJ_NO_CLEAR_REASON
TRPM7	rejected	rejected	879	MED	1	REJ_NO_CLEAR_REASON
TRRAP	rejected	rejected	853	MED	1	REJ_NO_CLEAR_REASON
TSC22D3	rejected	rejected	807	MED	1	REJ_NO_CLEAR_REASON
TSG101	rejected	rejected	801	MED	1	REJ_NO_CLEAR_REASON
TTBK2	rejected	rejected	761	MED	1	REJ_NO_CLEAR_REASON
TTF2	rejected	rejected	827	MED	1	REJ_NO_CLEAR_REASON
TTK	rejected	rejected	754	MED	1	REJ_NO_CLEAR_REASON
TTL	rejected	rejected	758	MED	1	REJ_NO_CLEAR_REASON
TTN	rejected	rejected	748	MED	1	REJ_NO_CLEAR_REASON
TWIST2	rejected	rejected	838	MED	1	REJ_NO_CLEAR_REASON
TXN	rejected	rejected	752	MED	1	REJ_NO_CLEAR_REASON
TXNL1	rejected	rejected	780	MED	1	REJ_NO_CLEAR_REASON
TXNRD1	rejected	rejected	771	MED	1	REJ_NO_CLEAR_REASON
TYMP	rejected	rejected	766	MED	1	REJ_NO_CLEAR_REASON
Tbl1x	rejected	rejected	859	MED	1	REJ_NO_CLEAR_REASON
Tsga8	rejected	rejected	859	MED	1	REJ_NO_CLEAR_REASON
Txnl4a	rejected	rejected	863	MED	1	REJ_NO_CLEAR_REASON
UBTF	rejected	rejected	833	MED	1	REJ_NO_CLEAR_REASON
UNC93B1	rejected	rejected	782	MED	1	REJ_NO_CLEAR_REASON
UNG	rejected	rejected	760	MED	1	REJ_NO_CLEAR_REASON
UPK3A	rejected	rejected	735	MED	1	REJ_NO_CLEAR_REASON
UPRT	rejected	rejected	812	MED	1	REJ_NO_CLEAR_REASON
URM1	rejected	rejected	766	MED	1	REJ_NO_CLEAR_REASON
UROD	rejected	rejected	767	MED	1	REJ_NO_CLEAR_REASON
UROS	rejected	rejected	767	MED	1	REJ_NO_CLEAR_REASON
USF2	rejected	rejected	822	MED	1	REJ_NO_CLEAR_REASON
UTY	rejected	rejected	805	MED	1	REJ_NO_CLEAR_REASON
UXT	rejected	rejected	782	MED	1	REJ_NO_CLEAR_REASON
VGLL4	rejected	rejected	769	MED	1	REJ_NO_CLEAR_REASON
VIRMA	rejected	rejected	784	MED	1	REJ_NO_CLEAR_REASON
VSIG4	rejected	rejected	785	MED	1	REJ_NO_CLEAR_REASON
VSX1	rejected	rejected	761	MED	1	REJ_NO_CLEAR_REASON
WAC	rejected	rejected	780	MED	1	REJ_NO_CLEAR_REASON
WDHD1	rejected	rejected	800	MED	1	REJ_NO_CLEAR_REASON
WDR4	rejected	rejected	820	MED	1	REJ_NO_CLEAR_REASON
WDR43	rejected	rejected	737	MED	1	REJ_NO_CLEAR_REASON
WDR62	rejected	rejected	760	MED	1	REJ_NO_CLEAR_REASON
WEE1	rejected	rejected	887	OK	0	OK
WIPI2	rejected	rejected	789	MED	1	REJ_NO_CLEAR_REASON
WNK1	rejected	rejected	887	OK	0	OK
WWC1	rejected	rejected	812	MED	1	REJ_NO_CLEAR_REASON
WWOX	rejected	rejected	812	MED	1	REJ_NO_CLEAR_REASON
WWP2	rejected	rejected	788	MED	1	REJ_NO_CLEAR_REASON
WWTR1	rejected	rejected	788	MED	1	REJ_NO_CLEAR_REASON
XAF1	rejected	rejected	762	MED	1	REJ_NO_CLEAR_REASON
XK	rejected	rejected	796	MED	1	REJ_NO_CLEAR_REASON
XPA	rejected	rejected	883	OK	0	OK
XRCC1	rejected	rejected	891	OK	0	OK
XRCC6	rejected	rejected	891	OK	0	OK
XRN2	rejected	rejected	5546	MED	1	REJ_WITH_NUKE_HPA
Xiap	rejected	rejected	855	MED	1	REJ_NO_CLEAR_REASON
YBX2	rejected	rejected	778	MED	1	REJ_NO_CLEAR_REASON
YBX3	rejected	rejected	778	MED	1	REJ_NO_CLEAR_REASON
YWHAZ	rejected	rejected	908	MED	1	REJ_NO_CLEAR_REASON
ZMPSTE24	rejected	rejected	802	MED	1	REJ_NO_CLEAR_REASON
ZW10	rejected	rejected	761	MED	1	REJ_NO_CLEAR_REASON
ZWILCH	rejected	rejected	746	MED	1	REJ_NO_CLEAR_REASON
ZWINT	rejected	rejected	794	MED	1	REJ_NO_CLEAR_REASON
ZYX	rejected	rejected	740	MED	1	REJ_NO_CLEAR_REASON
