batch_id	gene	current_path	status	current_lines	current_chars	risk	issues	missing_modules	priority	reason
1	AARS1	rejected/AARS1/AARS1-evaluation.md	rejected	66	2013	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,Literature
1	ABI1	rejected/ABI1/ABI1-evaluation.md	rejected	62	1993	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,Literature
1	ABLIM2	rejected/ABLIM2/ABLIM2-evaluation.md	rejected	55	1437	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
1	ATXN2L	rejected/ATXN2L/ATXN2L-evaluation.md	rejected	67	2636	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,Literature
1	C12orf60	rejected/C12orf60/C12orf60-evaluation.md	rejected	62	1811	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,Literature
2	C22orf31	rejected/C22orf31/C22orf31-evaluation.md	rejected	44	795	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
2	C22orf39	rejected/C22orf39/C22orf39-evaluation.md	rejected	26	697	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI
2	C22orf42	rejected/C22orf42/C22orf42-evaluation.md	rejected	28	876	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI
2	C2CD3	rejected/C2CD3/C2CD3-evaluation.md	rejected	28	984	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI
2	C2CD6	rejected/C2CD6/C2CD6-evaluation.md	rejected	53	1071	HIGH			rejected-no-evidence	HIGH risk, PubMed,PPI,Literature
3	C2orf68	rejected/C2orf68/C2orf68-evaluation.md	rejected	27	631	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI
3	C2orf72	rejected/C2orf72/C2orf72-evaluation.md	rejected	27	696	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI
3	C2orf81	rejected/C2orf81/C2orf81-evaluation.md	rejected	27	648	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI
3	C3orf20	rejected/C3orf20/C3orf20-evaluation.md	rejected	27	793	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI
3	C3orf33	rejected/C3orf33/C3orf33-evaluation.md	rejected	28	878	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI
4	C3orf62	rejected/C3orf62/C3orf62-evaluation.md	rejected	28	877	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI
4	C3orf80	rejected/C3orf80/C3orf80-evaluation.md	rejected	27	728	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI
4	C4orf19	rejected/C4orf19/C4orf19-evaluation.md	rejected	28	878	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI
4	C4orf33	rejected/C4orf33/C4orf33-evaluation.md	rejected	27	706	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI
4	C4orf47	rejected/C4orf47/C4orf47-evaluation.md	rejected	27	841	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI
5	C4orf51	rejected/C4orf51/C4orf51-evaluation.md	rejected	26	599	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI
5	C4orf54	rejected/C4orf54/C4orf54-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
5	C5orf22	rejected/C5orf22/C5orf22-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
5	C5orf24	rejected/C5orf24/C5orf24-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
5	C5orf60	rejected/C5orf60/C5orf60-evaluation.md	rejected	26	616	HIGH			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI
6	C8orf33	rejected/C8orf33/C8orf33-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
6	C8orf74	rejected/C8orf74/C8orf74-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
6	C9orf152	rejected/C9orf152/C9orf152-evaluation.md	rejected	44	795	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
6	C9orf153	rejected/C9orf153/C9orf153-evaluation.md	rejected	44	795	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
6	C9orf40	rejected/C9orf40/C9orf40-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
7	C9orf85	rejected/C9orf85/C9orf85-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
7	CC2D2B	rejected/CC2D2B/CC2D2B-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
7	CCDC102A	rejected/CCDC102A/CCDC102A-evaluation.md	rejected	44	795	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
7	CCDC106	rejected/CCDC106/CCDC106-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
7	CCDC107	rejected/CCDC107/CCDC107-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
8	CCDC125	rejected/CCDC125/CCDC125-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
8	CCDC13	rejected/CCDC13/CCDC13-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
8	CCDC188	rejected/CCDC188/CCDC188-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
8	CCDC89	rejected/CCDC89/CCDC89-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
8	CIMAP3	rejected/CIMAP3/CIMAP3-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
9	COMMD6	rejected/COMMD6/COMMD6-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
9	COMMD8	rejected/COMMD8/COMMD8-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
9	COMMD9	rejected/COMMD9/COMMD9-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
9	CPHXL	rejected/CPHXL/CPHXL-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
9	CPHXL2	rejected/CPHXL2/CPHXL2-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
10	CTDNEP1	rejected/CTDNEP1/CTDNEP1-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
10	CTDSPL2	rejected/CTDSPL2/CTDSPL2-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
10	DAZ1	rejected/DAZ1/DAZ1-evaluation.md	rejected	44	783	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
10	DAZ4	rejected/DAZ4/DAZ4-evaluation.md	rejected	44	783	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
10	DCANP1	rejected/DCANP1/DCANP1-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
11	DCUN1D3	rejected/DCUN1D3/DCUN1D3-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
11	DCUN1D5	rejected/DCUN1D5/DCUN1D5-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
11	DDIAS	rejected/DDIAS/DDIAS-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
11	DENND4A	rejected/DENND4A/DENND4A-evaluation.md	rejected	46	813	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,AlphaFold,PDB,PPI,Literature
11	DEPDC7	rejected/DEPDC7/DEPDC7-evaluation.md	rejected	46	800	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,AlphaFold,PDB,PPI,Literature
12	DERPC	rejected/DERPC/DERPC-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
12	DESI1	rejected/DESI1/DESI1-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
12	DGCR6	rejected/DGCR6/DGCR6-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
12	DGCR6L	rejected/DGCR6L/DGCR6L-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
12	DNAAF4	rejected/DNAAF4/DNAAF4-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
13	DPY19L2	rejected/DPY19L2/DPY19L2-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
13	DQX1	rejected/DQX1/DQX1-evaluation.md	rejected	44	783	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
13	DUX1	rejected/DUX1/DUX1-evaluation.md	rejected	44	783	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
13	DUX3	rejected/DUX3/DUX3-evaluation.md	rejected	44	783	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
13	DUX5	rejected/DUX5/DUX5-evaluation.md	rejected	44	783	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
14	DYNC1LI1	rejected/DYNC1LI1/DYNC1LI1-evaluation.md	rejected	46	1157	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,AlphaFold,PDB,PPI,Literature
14	DYNLT4	rejected/DYNLT4/DYNLT4-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
14	EDRF1	rejected/EDRF1/EDRF1-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
14	EEF1AKMT2	rejected/EEF1AKMT2/EEF1AKMT2-evaluation.md	rejected	44	798	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
14	EEIG1	rejected/EEIG1/EEIG1-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
15	EID2B	rejected/EID2B/EID2B-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
15	ELAC1	rejected/ELAC1/ELAC1-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
15	ELP5	rejected/ELP5/ELP5-evaluation.md	rejected	44	783	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
15	EPM2A	rejected/EPM2A/EPM2A-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
15	ERFL	rejected/ERFL/ERFL-evaluation.md	rejected	44	783	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
16	ERICH6	rejected/ERICH6/ERICH6-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
16	ETV3L	rejected/ETV3L/ETV3L-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
16	FAM169A	rejected/FAM169A/FAM169A-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
16	FAM193B	rejected/FAM193B/FAM193B-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
16	FAM209A	rejected/FAM209A/FAM209A-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
17	FAM209B	rejected/FAM209B/FAM209B-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
17	FAM220A	rejected/FAM220A/FAM220A-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
17	FAM47E	rejected/FAM47E/FAM47E-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
17	FAM53B	rejected/FAM53B/FAM53B-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
17	FAM76B	rejected/FAM76B/FAM76B-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
18	FAM9A	rejected/FAM9A/FAM9A-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
18	FAM9B	rejected/FAM9B/FAM9B-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
18	FAM9C	rejected/FAM9C/FAM9C-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
18	FANK1	rejected/FANK1/FANK1-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
18	FBH1	rejected/FBH1/FBH1-evaluation.md	rejected	44	783	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
19	FBLL1	rejected/FBLL1/FBLL1-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
19	FBXL17	rejected/FBXL17/FBXL17-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
19	FIRRM	rejected/FIRRM/FIRRM-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
19	FLII	rejected/FLII/FLII-evaluation.md	rejected	28	606	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,AlphaFold,PDB,PPI,Literature
19	FOXD4L3	rejected/FOXD4L3/FOXD4L3-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
20	FRG2B	rejected/FRG2B/FRG2B-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
20	FRG2C	rejected/FRG2C/FRG2C-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
20	FSBP	rejected/FSBP/FSBP-evaluation.md	rejected	44	783	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
20	Fam209	rejected/Fam209/Fam209-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
20	Fbxw15	rejected/Fbxw15/Fbxw15-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
21	GARIN3	rejected/GARIN3/GARIN3-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
21	GCFC2	rejected/GCFC2/GCFC2-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
21	GCHFR	rejected/GCHFR/GCHFR-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
21	GHDC	rejected/GHDC/GHDC-evaluation.md	rejected	44	783	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
21	GMCL2	rejected/GMCL2/GMCL2-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
22	GPN3	rejected/GPN3/GPN3-evaluation.md	rejected	44	783	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
22	Gm52993	rejected/Gm52993/Gm52993-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
22	H4C7	rejected/H4C7/H4C7-evaluation.md	rejected	44	783	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
22	HARBI1	rejected/HARBI1/HARBI1-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
22	HINT3	rejected/HINT3/HINT3-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
23	HMGB4	rejected/HMGB4/HMGB4-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
23	HROB	rejected/HROB/HROB-evaluation.md	rejected	44	783	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
23	IFFO1	rejected/IFFO1/IFFO1-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
23	INPP4A	rejected/INPP4A/INPP4A-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
23	ISOC2	rejected/ISOC2/ISOC2-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
24	Ifi211	rejected/Ifi211/Ifi211-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
24	Ifi214	rejected/Ifi214/Ifi214-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
24	Isoc2a	rejected/Isoc2a/Isoc2a-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
24	Isoc2b	rejected/Isoc2b/Isoc2b-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
24	JMJD7	rejected/JMJD7/JMJD7-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
25	JPT2	rejected/JPT2/JPT2-evaluation.md	rejected	44	783	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
25	KATNBL1	rejected/KATNBL1/KATNBL1-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
25	KAZN	rejected/KAZN/KAZN-evaluation.md	rejected	44	783	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
25	KBTBD6	rejected/KBTBD6/KBTBD6-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
25	KBTBD7	rejected/KBTBD7/KBTBD7-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
26	KLHDC10	rejected/KLHDC10/KLHDC10-evaluation.md	rejected	44	792	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
26	KLHDC2	rejected/KLHDC2/KLHDC2-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
26	KLHL15	rejected/KLHL15/KLHL15-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
26	KLHL20	rejected/KLHL20/KLHL20-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
26	KLHL22	rejected/KLHL22/KLHL22-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
27	KNOP1	rejected/KNOP1/KNOP1-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
27	KPNA3	rejected/KPNA3/KPNA3-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
27	KRCC1	rejected/KRCC1/KRCC1-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
27	KRI1	rejected/KRI1/KRI1-evaluation.md	rejected	44	783	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
27	LANCL2	rejected/LANCL2/LANCL2-evaluation.md	rejected	44	789	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
28	LYRM1	rejected/LYRM1/LYRM1-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
28	LYRM4	rejected/LYRM4/LYRM4-evaluation.md	rejected	44	786	CRITICAL			rejected-no-evidence	HIGH risk, PubMed,PDB,PPI,Literature
