gene	file_count	paths	categories
ARL2	2	detail/nucleoplasm/ARL2/ARL2-evaluation.md, detail/rejected/ARL2/ARL2-evaluation.md	nucleoplasm, rejected
ARL3	2	detail/nucleoplasm/ARL3/ARL3-evaluation.md, detail/rejected/ARL3/ARL3-evaluation.md	nucleoplasm, rejected
BBX	2	detail/nucleoplasm/BBX/BBX-evaluation.md, detail/rejected/BBX/BBX-evaluation.md	nucleoplasm, rejected
CASC3	2	detail/nuclear-speckle/CASC3/CASC3-evaluation.md, detail/nucleus-cytoplasm/CASC3/CASC3-evaluation.md	nuclear-speckle, nucleus-cytoplasm
CCAR1	2	detail/nucleoplasm/CCAR1/CCAR1-evaluation.md, detail/nucleus-cytoplasm/CCAR1/CCAR1-evaluation.md	nucleoplasm, nucleus-cytoplasm
CCDC137	2	detail/chromatin/CCDC137/CCDC137-evaluation.md, detail/nucleoplasm/CCDC137/CCDC137-evaluation.md	chromatin, nucleoplasm
CCDC85C	2	detail/nuclear-speckle/CCDC85C/CCDC85C-evaluation.md, detail/nucleoplasm/CCDC85C/CCDC85C-evaluation.md	nuclear-speckle, nucleoplasm
CDAN1	2	detail/nucleoplasm/CDAN1/CDAN1-evaluation.md, detail/nucleus-cytoplasm/CDAN1/CDAN1-evaluation.md	nucleoplasm, nucleus-cytoplasm
CDC14A	2	detail/nucleoplasm/CDC14A/CDC14A-evaluation.md, detail/nucleus-cytoplasm/CDC14A/CDC14A-evaluation.md	nucleoplasm, nucleus-cytoplasm
CDX4	2	detail/nucleoplasm/CDX4/CDX4-evaluation.md, detail/nucleus-cytoplasm/CDX4/CDX4-evaluation.md	nucleoplasm, nucleus-cytoplasm
CEBPG	2	detail/nucleoplasm/CEBPG/CEBPG-evaluation.md, detail/nucleus-cytoplasm/CEBPG/CEBPG-evaluation.md	nucleoplasm, nucleus-cytoplasm
CENPH	2	detail/chromatin/CENPH/CENPH-evaluation.md, detail/nucleoplasm/CENPH/CENPH-evaluation.md	chromatin, nucleoplasm
CENPI	2	detail/chromatin/CENPI/CENPI-evaluation.md, detail/nucleoplasm/CENPI/CENPI-evaluation.md	chromatin, nucleoplasm
CENPK	2	detail/chromatin/CENPK/CENPK-evaluation.md, detail/nucleoplasm/CENPK/CENPK-evaluation.md	chromatin, nucleoplasm
CENPM	2	detail/chromatin/CENPM/CENPM-evaluation.md, detail/nucleoplasm/CENPM/CENPM-evaluation.md	chromatin, nucleoplasm
CENPT	2	detail/chromatin/CENPT/CENPT-evaluation.md, detail/nucleoplasm/CENPT/CENPT-evaluation.md	chromatin, nucleoplasm
CENPU	2	detail/chromatin/CENPU/CENPU-evaluation.md, detail/nucleoplasm/CENPU/CENPU-evaluation.md	chromatin, nucleoplasm
CENPX	2	detail/chromatin/CENPX/CENPX-evaluation.md, detail/nucleoplasm/CENPX/CENPX-evaluation.md	chromatin, nucleoplasm
CHMP1A	2	detail/nucleoplasm/CHMP1A/CHMP1A-evaluation.md, detail/nucleus-cytoplasm/CHMP1A/CHMP1A-evaluation.md	nucleoplasm, nucleus-cytoplasm
CHP2	2	detail/nucleoplasm/CHP2/CHP2-evaluation.md, detail/nucleus-cytoplasm/CHP2/CHP2-evaluation.md	nucleoplasm, nucleus-cytoplasm
CIPC	2	detail/nucleoplasm/CIPC/CIPC-evaluation.md, detail/nucleus-cytoplasm/CIPC/CIPC-evaluation.md	nucleoplasm, nucleus-cytoplasm
CLASP1	2	detail/nucleoplasm/CLASP1/CLASP1-evaluation.md, detail/rejected/CLASP1/CLASP1-evaluation.md	nucleoplasm, rejected
CLNS1A	2	detail/nucleoplasm/CLNS1A/CLNS1A-evaluation.md, detail/nucleus-cytoplasm/CLNS1A/CLNS1A-evaluation.md	nucleoplasm, nucleus-cytoplasm
CRTC3	2	detail/nucleoplasm/CRTC3/CRTC3-evaluation.md, detail/nucleus-cytoplasm/CRTC3/CRTC3-evaluation.md	nucleoplasm, nucleus-cytoplasm
CSRP1	2	detail/nucleoplasm/CSRP1/CSRP1-evaluation.md, detail/nucleus-cytoplasm/CSRP1/CSRP1-evaluation.md	nucleoplasm, nucleus-cytoplasm
CSRP2	2	detail/nucleoplasm/CSRP2/CSRP2-evaluation.md, detail/nucleus-cytoplasm/CSRP2/CSRP2-evaluation.md	nucleoplasm, nucleus-cytoplasm
CSRP3	2	detail/nucleoplasm/CSRP3/CSRP3-evaluation.md, detail/nucleus-cytoplasm/CSRP3/CSRP3-evaluation.md	nucleoplasm, nucleus-cytoplasm
CSTF2T	2	detail/nucleoplasm/CSTF2T/CSTF2T-evaluation.md, detail/nucleus-cytoplasm/CSTF2T/CSTF2T-evaluation.md	nucleoplasm, nucleus-cytoplasm
CTNNBL1	2	detail/nucleoplasm/CTNNBL1/CTNNBL1-evaluation.md, detail/nucleus-cytoplasm/CTNNBL1/CTNNBL1-evaluation.md	nucleoplasm, nucleus-cytoplasm
CUTC	2	detail/nucleoplasm/CUTC/CUTC-evaluation.md, detail/nucleus-cytoplasm/CUTC/CUTC-evaluation.md	nucleoplasm, nucleus-cytoplasm
FOXL1	2	detail/nucleolus/FOXL1/FOXL1-evaluation.md, detail/rejected/FOXL1/FOXL1-evaluation.md	nucleolus, rejected
GNAI1	2	detail/nucleolus/GNAI1/GNAI1-evaluation.md, detail/rejected/GNAI1/GNAI1-evaluation.md	nucleolus, rejected
HASPIN	2	detail/nucleoplasm/HASPIN/HASPIN-evaluation.md, detail/rejected/HASPIN/HASPIN-evaluation.md	nucleoplasm, rejected
HAT1	2	detail/nucleoplasm/HAT1/HAT1-evaluation.md, detail/rejected/HAT1/HAT1-evaluation.md	nucleoplasm, rejected
HSF4	2	detail/nucleoplasm/HSF4/HSF4-evaluation.md, detail/rejected/HSF4/HSF4-evaluation.md	nucleoplasm, rejected
MEOX2	2	detail/nucleoplasm/MEOX2/MEOX2-evaluation.md, detail/rejected/MEOX2/MEOX2-evaluation.md	nucleoplasm, rejected
NEK6	2	detail/nucleoplasm/NEK6/NEK6-evaluation.md, detail/rejected/NEK6/NEK6-evaluation.md	nucleoplasm, rejected
PLD4	2	detail/nucleoplasm/PLD4/PLD4-evaluation.md, detail/nucleus-cytoplasm/PLD4/PLD4-evaluation.md	nucleoplasm, nucleus-cytoplasm
PLK3	2	detail/nucleolus/PLK3/PLK3-evaluation.md, detail/rejected/PLK3/PLK3-evaluation.md	nucleolus, rejected
PLK4	2	detail/nucleolus/PLK4/PLK4-evaluation.md, detail/rejected/PLK4/PLK4-evaluation.md	nucleolus, rejected
PPM1A	2	detail/nucleoplasm/PPM1A/PPM1A-evaluation.md, detail/rejected/PPM1A/PPM1A-evaluation.md	nucleoplasm, rejected
PRDM11	2	detail/nucleoplasm/PRDM11/PRDM11-evaluation.md, detail/nucleus-cytoplasm/PRDM11/PRDM11-evaluation.md	nucleoplasm, nucleus-cytoplasm
SEBOX	2	detail/nucleoplasm/SEBOX/SEBOX-evaluation.md, detail/nucleus-cytoplasm/SEBOX/SEBOX-evaluation.md	nucleoplasm, nucleus-cytoplasm
SENP2	2	detail/nucleoplasm/SENP2/SENP2-evaluation.md, detail/rejected/SENP2/SENP2-evaluation.md	nucleoplasm, rejected
SENP3	2	detail/nucleolus/SENP3/SENP3-evaluation.md, detail/rejected/SENP3/SENP3-evaluation.md	nucleolus, rejected
SMYD2	2	detail/nucleoplasm/SMYD2/SMYD2-evaluation.md, detail/rejected/SMYD2/SMYD2-evaluation.md	nucleoplasm, rejected
UNCX	2	detail/nucleoplasm/UNCX/UNCX-evaluation.md, detail/nucleus-cytoplasm/UNCX/UNCX-evaluation.md	nucleoplasm, nucleus-cytoplasm
