gene	current_path	status	lines	chars	has_hpa	has_uni	has_pubmed	has_af	has_pae	has_pdb	has_ppi	has_score	has_reason	has_note	has_forbidden	is_template	quality_pass	needs_repair	reason
VPS51	detail/rejected/VPS51/VPS51-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
NAA30	detail/rejected/NAA30/NAA30-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
CHMP4B	detail/rejected/CHMP4B/CHMP4B-evaluation.md	rejected	184	6263	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
POU6F2	detail/rejected/POU6F2/POU6F2-evaluation.md	rejected	11	188	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
PKN3	detail/rejected/PKN3/PKN3-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
PCID2	detail/rejected/PCID2/PCID2-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
NEMF	detail/rejected/NEMF/NEMF-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
MYPN	detail/rejected/MYPN/MYPN-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
YPEL2	detail/rejected/YPEL2/YPEL2-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
TJP3	detail/rejected/TJP3/TJP3-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
MSANTD1	detail/rejected/MSANTD1/MSANTD1-evaluation.md	rejected	11	190	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
TSPAN2	detail/rejected/TSPAN2/TSPAN2-evaluation.md	rejected	11	188	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
SMTN	detail/rejected/SMTN/SMTN-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
DCTN6	detail/rejected/DCTN6/DCTN6-evaluation.md	rejected	171	5440	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
CMYA5	detail/rejected/CMYA5/CMYA5-evaluation.md	rejected	175	5230	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
MTMR7	detail/rejected/MTMR7/MTMR7-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
PASD1	detail/rejected/PASD1/PASD1-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
PHOSPHO2	detail/rejected/PHOSPHO2/PHOSPHO2-evaluation.md	rejected	11	192	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
TAB3	detail/rejected/TAB3/TAB3-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
TTC33	detail/rejected/TTC33/TTC33-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
CIMAP1D	detail/rejected/CIMAP1D/CIMAP1D-evaluation.md	rejected	164	4461	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
TOGARAM2	detail/rejected/TOGARAM2/TOGARAM2-evaluation.md	rejected	11	192	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
Obox6	detail/rejected/Obox6/Obox6-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
WDR12	detail/rejected/WDR12/WDR12-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
SLX9	detail/rejected/SLX9/SLX9-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
PBOV1	detail/rejected/PBOV1/PBOV1-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
SPOPL	detail/rejected/SPOPL/SPOPL-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
TSPAN13	detail/rejected/TSPAN13/TSPAN13-evaluation.md	rejected	11	190	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
PRAG1	detail/rejected/PRAG1/PRAG1-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
AIRIM	detail/rejected/AIRIM/AIRIM-evaluation.md	rejected	111	3586	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
NOPCHAP1	detail/rejected/NOPCHAP1/NOPCHAP1-evaluation.md	rejected	11	192	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
RIT2	detail/rejected/RIT2/RIT2-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
NMRK1	detail/rejected/NMRK1/NMRK1-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
PANO1	detail/rejected/PANO1/PANO1-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
RIOX1	detail/rejected/RIOX1/RIOX1-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
MTMR10	detail/rejected/MTMR10/MTMR10-evaluation.md	rejected	11	188	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
SENP8	detail/rejected/SENP8/SENP8-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
MYBPH	detail/rejected/MYBPH/MYBPH-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
Rhox13	detail/rejected/Rhox13/Rhox13-evaluation.md	rejected	11	188	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
RMP64	detail/rejected/RMP64/RMP64-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
TTI1	detail/rejected/TTI1/TTI1-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
PLPPR3	detail/rejected/PLPPR3/PLPPR3-evaluation.md	rejected	11	188	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
Fcor	detail/rejected/Fcor/Fcor-evaluation.md	rejected	162	4581	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
SS18L2	detail/rejected/SS18L2/SS18L2-evaluation.md	rejected	11	188	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
TEX264	detail/rejected/TEX264/TEX264-evaluation.md	rejected	11	188	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
NAV3	detail/rejected/NAV3/NAV3-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
SENP5	detail/rejected/SENP5/SENP5-evaluation.md	rejected	11	186	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
MPHOSPH6	detail/rejected/MPHOSPH6/MPHOSPH6-evaluation.md	rejected	11	192	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
TMX4	detail/rejected/TMX4/TMX4-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
PSORS1C1	detail/rejected/PSORS1C1/PSORS1C1-evaluation.md	rejected	11	192	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
METTL21C	detail/nucleoplasm/METTL21C/METTL21C-evaluation.md	scored	173	5093	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
MAP9	detail/nuclear-speckle/MAP9/MAP9-evaluation.md	scored	181	5747	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
FAM181B	detail/nuclear-envelope/FAM181B/FAM181B-evaluation.md	scored	167	4646	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
LMTK3	detail/nucleoplasm/LMTK3/LMTK3-evaluation.md	scored	175	5733	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
CHMP1B	detail/nuclear-envelope/CHMP1B/CHMP1B-evaluation.md	scored	187	6112	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
B9D1	detail/nucleus-cytoplasm/B9D1/B9D1-evaluation.md	scored	138	5549	True	True	True	True	True	True	True	True	True	True	False	False	True	False	missing=OK template=False forbidden=False
APLF	detail/nucleoplasm/APLF/APLF-evaluation.md	scored	181	5940	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
CPNE2	detail/nucleoplasm/CPNE2/CPNE2-evaluation.md	scored	177	5317	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
DNTTIP2	detail/nucleolus/DNTTIP2/DNTTIP2-evaluation.md	scored	180	6094	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
BEAN1	detail/nucleus-cytoplasm/BEAN1/BEAN1-evaluation.md	scored	161	4557	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
CREBZF	detail/nucleoplasm/CREBZF/CREBZF-evaluation.md	scored	181	5555	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
BRI3	detail/nucleus-cytoplasm/BRI3/BRI3-evaluation.md	scored	161	4928	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
FBXO25	detail/nucleoplasm/FBXO25/FBXO25-evaluation.md	scored	182	5463	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
DHDH	detail/nucleoplasm/DHDH/DHDH-evaluation.md	scored	168	5375	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
GMPPA	detail/nucleoplasm/GMPPA/GMPPA-evaluation.md	scored	176	4993	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
MIDN	detail/nucleolus/MIDN/MIDN-evaluation.md	scored	178	5595	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
FAM219A	detail/nucleoplasm/FAM219A/FAM219A-evaluation.md	scored	180	5345	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
CCDC91	detail/nucleoplasm/CCDC91/CCDC91-evaluation.md	scored	203	5934	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
FAM81A	detail/nucleoplasm/FAM81A/FAM81A-evaluation.md	scored	180	5775	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
FAM131B	detail/nucleoplasm/FAM131B/FAM131B-evaluation.md	scored	184	5971	True	True	True	True	True	True	True	True	True	False	False	False	True	False	missing=OK template=False forbidden=False
NVL	detail/rejected/NVL/NVL-evaluation.md	rejected	11	182	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
NXN	detail/rejected/NXN/NXN-evaluation.md	rejected	11	182	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
TXK	detail/rejected/TXK/TXK-evaluation.md	rejected	11	182	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
WAS	detail/rejected/WAS/WAS-evaluation.md	rejected	11	182	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
MIOS	detail/rejected/MIOS/MIOS-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
MKKS	detail/rejected/MKKS/MKKS-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
MLIP	detail/rejected/MLIP/MLIP-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
MNS1	detail/rejected/MNS1/MNS1-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
MOB2	detail/rejected/MOB2/MOB2-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
MON2	detail/rejected/MON2/MON2-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
MPND	detail/rejected/MPND/MPND-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
MRI1	detail/rejected/MRI1/MRI1-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
MTPN	detail/rejected/MTPN/MTPN-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
MYG1	detail/rejected/MYG1/MYG1-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
Mycs	detail/rejected/Mycs/Mycs-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
NADK	detail/rejected/NADK/NADK-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
NANP	detail/rejected/NANP/NANP-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
NARF	detail/rejected/NARF/NARF-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
NAV2	detail/rejected/NAV2/NAV2-evaluation.md	rejected	11	184	False	False	False	False	False	False	False	False	True	False	False	True	False	True	missing=HPA,PubMed,PDB,PPI template=True forbidden=False
