gene	current_path	status	current_lines	current_chars	has_score_table	has_hpa	has_uniprot_go	has_pubmed	has_alphafold_plddt_pae	has_pdb_or_no_pdb_explanation	has_ppi	has_key_literature	has_final_decision_reason	needs_repair	repair_priority	reason
AATF	detail/nucleoplasm/AATF/AATF-evaluation.md	scored	25	517	True	True	False	False	True	False	True	False	True	True	HIGH	UniProt/GO, PubMed, PDB, Literature
AAGAB	detail/nuclear-speckle/AAGAB/AAGAB-evaluation.md	scored	34	965	True	True	True	True	True	False	True	False	True	True	MED	PDB, Literature
PAXX	detail/chromatin/PAXX/PAXX-evaluation.md	scored	167	4138	True	True	True	True	True	True	True	True	True	False	OK	
CDAN1	detail/nucleus-cytoplasm/CDAN1/CDAN1-evaluation.md	scored	150	4376	True	True	True	True	True	True	True	True	True	False	OK	
CCDC85C	detail/nucleoplasm/CCDC85C/CCDC85C-evaluation.md	scored	175	6297	True	True	True	True	True	True	True	True	True	False	OK	
TNIP2	detail/nucleolus/TNIP2/TNIP2-evaluation.md	scored	174	4785	True	True	True	True	True	True	True	True	True	False	OK	
DTX2	detail/nucleus-cytoplasm/DTX2/DTX2-evaluation.md	scored	172	4923	True	True	True	True	True	True	True	True	True	False	OK	
TRMT10A	detail/nucleolus/TRMT10A/TRMT10A-evaluation.md	scored	168	4379	True	True	True	True	True	True	True	True	True	False	OK	
DPY30	detail/nucleoplasm/DPY30/DPY30-evaluation.md	scored	166	4674	True	True	True	True	True	True	True	True	True	False	OK	
ARFGEF1	detail/nucleoplasm/ARFGEF1/ARFGEF1-evaluation.md	scored	201	7502	True	True	True	True	True	True	True	True	True	False	OK	
DNTTIP1	detail/nucleoplasm/DNTTIP1/DNTTIP1-evaluation.md	scored	165	4793	True	True	True	True	True	True	True	True	True	False	OK	
CEP164	detail/nucleus-cytoplasm/CEP164/CEP164-evaluation.md	scored	241	9837	True	True	True	True	True	True	True	True	True	False	OK	
HEPACAM2	detail/nucleus-cytoplasm/HEPACAM2/HEPACAM2-evaluation.md	scored	183	4904	True	True	True	True	True	True	True	True	True	False	OK	
CHP2	detail/nucleus-cytoplasm/CHP2/CHP2-evaluation.md	scored	151	4420	True	True	True	True	True	True	True	True	True	False	OK	
CENPI	detail/chromatin/CENPI/CENPI-evaluation.md	scored	151	4562	True	True	True	True	True	True	True	True	True	False	OK	
PRR14	detail/chromatin/PRR14/PRR14-evaluation.md	scored	166	4008	True	True	True	True	True	True	True	True	True	False	OK	
TLX2	detail/nucleoplasm/TLX2/TLX2-evaluation.md	scored	172	4488	True	True	True	True	True	True	True	True	True	False	OK	
DIDO1	detail/nucleus-cytoplasm/DIDO1/DIDO1-evaluation.md	scored	173	4903	True	True	True	True	True	True	True	True	True	False	OK	
MAU2	detail/nucleoplasm/MAU2/MAU2-evaluation.md	scored	190	5391	True	True	True	True	True	True	True	True	True	False	OK	
CHMP1A	detail/nucleus-cytoplasm/CHMP1A/CHMP1A-evaluation.md	scored	150	4426	True	True	True	True	True	True	True	True	True	False	OK	
ARVCF	detail/nucleus-cytoplasm/ARVCF/ARVCF-evaluation.md	scored	209	7153	True	True	True	True	True	True	True	True	True	False	OK	
DEF6	detail/nucleus-cytoplasm/DEF6/DEF6-evaluation.md	scored	171	4826	True	True	True	True	True	True	True	True	True	False	OK	
FOXB1	detail/nucleoplasm/FOXB1/FOXB1-evaluation.md	scored	183	4684	True	True	True	True	True	True	True	True	True	False	OK	
YEATS2	detail/nucleoplasm/YEATS2/YEATS2-evaluation.md	scored	172	4319	True	True	True	True	True	True	True	True	True	False	OK	
MXRA8	detail/nuclear-speckle/MXRA8/MXRA8-evaluation.md	scored	186	5382	True	True	True	True	True	True	True	True	True	False	OK	
FIBP	detail/nucleoplasm/FIBP/FIBP-evaluation.md	scored	241	10316	True	True	True	True	True	True	True	True	True	False	OK	
PPIL4	detail/nucleoplasm/PPIL4/PPIL4-evaluation.md	scored	175	4290	True	True	True	True	True	True	True	True	True	False	OK	
API5	detail/nucleoplasm/API5/API5-evaluation.md	scored	119	4923	True	True	True	True	True	True	True	True	True	False	OK	
UVSSA	detail/chromatin/UVSSA/UVSSA-evaluation.md	scored	169	4315	True	True	True	True	True	True	True	True	True	False	OK	
RCL1	detail/nucleolus/RCL1/RCL1-evaluation.md	scored	179	4645	True	True	True	True	True	True	True	True	True	False	OK	
CREB3L4	detail/chromatin/CREB3L4/CREB3L4-evaluation.md	scored	169	7612	True	True	True	True	True	True	True	True	True	False	OK	
FOXD4L5	detail/nucleoplasm/FOXD4L5/FOXD4L5-evaluation.md	scored	172	5275	True	True	True	True	True	True	True	True	True	False	OK	
SYMPK	detail/nucleus-cytoplasm/SYMPK/SYMPK-evaluation.md	scored	178	4901	True	True	True	True	True	True	True	True	True	False	OK	
TASL	detail/nucleus-cytoplasm/TASL/TASL-evaluation.md	scored	165	4194	True	True	True	True	True	True	True	True	True	False	OK	
NAB1	detail/nucleoplasm/NAB1/NAB1-evaluation.md	scored	180	4691	True	True	True	True	True	True	True	True	True	False	OK	
RTF2	detail/chromatin/RTF2/RTF2-evaluation.md	scored	166	4012	True	True	True	True	True	True	True	True	True	False	OK	
CDX4	detail/nucleus-cytoplasm/CDX4/CDX4-evaluation.md	scored	179	5364	True	True	True	True	True	True	True	True	True	False	OK	
CDC14A	detail/nucleoplasm/CDC14A/CDC14A-evaluation.md	scored	179	5671	True	True	True	True	True	True	True	True	True	False	OK	
IER5	detail/nucleus-cytoplasm/IER5/IER5-evaluation.md	scored	174	4503	True	True	True	True	True	True	True	True	True	False	OK	
CSTF1	detail/nucleoplasm/CSTF1/CSTF1-evaluation.md	scored	161	5230	True	True	True	True	True	True	True	True	True	False	OK	
TFPT	detail/nucleus-cytoplasm/TFPT/TFPT-evaluation.md	scored	186	5140	True	True	True	True	True	True	True	True	True	False	OK	
SFMBT1	detail/nucleus-cytoplasm/SFMBT1/SFMBT1-evaluation.md	scored	197	5296	True	True	True	True	True	True	True	True	True	False	OK	
LHX5	detail/nucleoplasm/LHX5/LHX5-evaluation.md	scored	167	5330	True	True	True	True	True	False	True	True	True	False	LOW	PDB
ELOB	detail/nucleoplasm/ELOB/ELOB-evaluation.md	scored	180	4504	True	True	True	True	True	True	True	True	True	False	OK	
DET1	detail/nucleoplasm/DET1/DET1-evaluation.md	scored	164	4391	True	True	True	True	True	True	True	True	True	False	OK	
GMEB1	detail/nucleoplasm/GMEB1/GMEB1-evaluation.md	scored	205	5648	True	True	True	True	True	False	True	True	True	False	LOW	PDB
SP140L	detail/nucleoplasm/SP140L/SP140L-evaluation.md	scored	176	4584	True	True	True	True	True	True	True	True	True	False	OK	
CTNNBL1	detail/nucleus-cytoplasm/CTNNBL1/CTNNBL1-evaluation.md	scored	179	5716	True	True	True	True	True	True	True	True	True	False	OK	
AKIRIN2	detail/nucleus-cytoplasm/AKIRIN2/AKIRIN2-evaluation.md	scored	218	8388	True	True	True	True	True	True	True	True	True	False	OK	
ANKRD31	detail/nucleoplasm/ANKRD31/ANKRD31-evaluation.md	scored	171	5671	True	True	True	True	True	True	True	True	True	False	OK	
ATRNL1	detail/nucleoplasm/ATRNL1/ATRNL1-evaluation.md	scored	164	5254	True	True	True	True	True	True	True	True	True	False	OK	
TENT2	detail/nucleoplasm/TENT2/TENT2-evaluation.md	scored	161	3952	True	True	True	True	True	True	True	True	True	False	OK	
AHDC1	detail/nucleoplasm/AHDC1/AHDC1-evaluation.md	scored	173	5551	True	True	True	True	True	True	True	True	True	False	OK	
ELL2	detail/nucleoplasm/ELL2/ELL2-evaluation.md	scored	176	4304	True	True	True	True	True	True	True	True	True	False	OK	
TMA16	detail/nucleoplasm/TMA16/TMA16-evaluation.md	scored	164	3997	True	True	True	True	True	True	True	True	True	False	OK	
ANKRD35	detail/nucleoplasm/ANKRD35/ANKRD35-evaluation.md	scored	166	5103	True	True	True	True	True	True	True	True	True	False	OK	
SCMH1	detail/nucleoplasm/SCMH1/SCMH1-evaluation.md	scored	186	4767	True	True	True	True	True	True	True	True	True	False	OK	
PLCB3	detail/nucleus-cytoplasm/PLCB3/PLCB3-evaluation.md	scored	179	4781	True	True	True	True	True	True	True	True	True	False	OK	
AQR	detail/nucleoplasm/AQR/AQR-evaluation.md	scored	169	5863	True	True	True	True	True	True	True	True	True	False	OK	
OTUD5	detail/nuclear-envelope/OTUD5/OTUD5-evaluation.md	scored	180	4565	True	True	True	True	True	True	True	True	True	False	OK	
SUPT5H	detail/nucleoplasm/SUPT5H/SUPT5H-evaluation.md	scored	179	4501	True	True	True	True	True	True	True	True	True	False	OK	
SAMD4B	detail/nuclear-envelope/SAMD4B/SAMD4B-evaluation.md	scored	172	4225	True	True	True	True	True	True	True	True	True	False	OK	
AATK	detail/nucleoplasm/AATK/AATK-evaluation.md	scored	28	747	True	True	True	True	True	False	True	True	True	False	LOW	PDB
C3orf38	detail/nucleoplasm/C3orf38/C3orf38-evaluation.md	scored	61	1586	True	True	True	True	True	True	True	False	True	False	LOW	Literature
MAB21L4	detail/nucleoplasm/MAB21L4/MAB21L4-evaluation.md	scored	86	3126	True	True	True	True	True	False	True	True	True	False	LOW	PDB
CAMK1D	detail/nucleoplasm/CAMK1D/CAMK1D-evaluation.md	scored	105	4542	True	True	True	True	True	True	True	True	True	False	OK	
ALPK3	detail/nucleoplasm/ALPK3/ALPK3-evaluation.md	scored	122	4839	True	True	True	True	True	True	True	True	True	False	OK	
ANKRD52	detail/nucleoplasm/ANKRD52/ANKRD52-evaluation.md	scored	124	4634	True	True	True	True	True	True	True	True	True	False	OK	
A1CF	detail/nucleoplasm/A1CF/A1CF-evaluation.md	scored	132	5967	True	True	True	True	True	True	True	True	True	False	OK	
LEUTX	detail/nucleoplasm/LEUTX/LEUTX-evaluation.md	scored	139	5929	True	True	True	True	True	True	True	True	False	False	LOW	FinalReason
AKAP8L	detail/nucleoplasm/AKAP8L/AKAP8L-evaluation.md	scored	140	5835	True	True	True	True	True	True	True	True	True	False	OK	
HES7	detail/nucleoplasm/HES7/HES7-evaluation.md	scored	142	4898	True	True	True	True	True	True	True	True	True	False	OK	
CSRNP2	detail/nucleoplasm/CSRNP2/CSRNP2-evaluation.md	scored	145	5956	True	True	True	True	True	True	True	True	True	False	OK	
CSTF2T	detail/nucleoplasm/CSTF2T/CSTF2T-evaluation.md	scored	145	4038	True	True	True	True	True	True	True	True	True	False	OK	
CFDP1	detail/chromatin/CFDP1/CFDP1-evaluation.md	scored	148	5098	True	True	True	True	True	True	True	True	True	False	OK	
HSF4	detail/nucleoplasm/HSF4/HSF4-evaluation.md	scored	149	3442	True	True	True	True	True	False	True	True	True	False	LOW	PDB
CCDC137	detail/chromatin/CCDC137/CCDC137-evaluation.md	scored	150	4452	True	True	True	True	True	True	True	True	True	False	OK	
CENPT	detail/chromatin/CENPT/CENPT-evaluation.md	scored	150	4113	True	True	True	True	True	True	True	True	True	False	OK	
CASC3	detail/nuclear-speckle/CASC3/CASC3-evaluation.md	scored	150	4745	True	True	True	True	True	True	True	True	True	False	OK	
C1D	detail/nucleolus/C1D/C1D-evaluation.md	scored	150	4518	True	True	True	True	True	True	True	True	True	False	OK	
